student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score
S104,6.9,6.9,78.2,71.0,32.6
S105,3.9,4.7,51.4,44.0,24.1
S106,8.1,4.6,82.1,76.0,38.2
S107,2.2,5.5,56.8,80.0,23.7
S108,5.8,8.5,73.1,83.0,39.2
S109,6.0,8.0,52.5,43.0,23.2
S110,11.5,8.3,69.0,49.0,42.2
S111,10.6,8.5,60.6,49.0,39.6
S112,3.9,5.1,66.3,91.0,34.8
S113,6.5,5.2,88.1,76.0,34.6
S114,3.0,4.5,69.0,59.0,26.4
S115,11.0,7.9,87.6,45.0,43.1
S116,10.6,8.4,91.6,55.0,46.4
S117,4.3,6.0,62.6,47.0,25.2
S118,8.0,7.1,54.1,75.0,31.3
S119,7.7,4.8,51.0,88.0,35.8
S120,2.7,8.6,77.0,66.0,29.8
S121,9.4,8.3,100.0,78.0,47.9
S122,6.9,8.9,67.5,78.0,40.9
S123,9.6,8.1,82.5,90.0,44.1
S124,6.8,8.4,89.1,79.0,39.3
S125,1.0,4.1,82.6,54.0,21.2
S126,4.6,7.7,87.7,89.0,38.6
S127,1.2,5.7,97.5,73.0,26.8
S128,11.2,8.7,60.0,64.0,42.7
S129,10.7,8.0,51.0,68.0,36.1
S130,10.1,8.3,57.6,68.0,39.2
S131,4.4,8.1,56.3,59.0,32.9
S132,1.6,5.3,83.5,95.0,28.8
S133,10.7,7.9,78.2,77.0,45.7
S134,11.4,4.5,60.9,67.0,40.8
S135,1.9,8.4,85.0,59.0,30.6
S136,6.3,8.3,88.3,76.0,41.1
S137,1.8,5.1,58.4,79.0,29.0
S138,9.4,8.1,80.4,43.0,35.1
S139,9.4,6.3,87.4,79.0,39.9
S140,2.4,5.5,55.7,87.0,29.9
S141,6.2,8.0,91.0,46.0,35.0
S142,7.0,5.1,98.2,88.0,43.3
S143,3.9,4.1,55.4,53.0,19.0
S144,10.6,5.0,51.3,80.0,35.1
S145,5.7,5.6,65.6,53.0,29.9
S146,3.3,8.3,83.9,56.0,33.0
S147,6.9,8.8,97.9,82.0,45.8
S148,9.0,5.4,69.8,45.0,35.5
S149,3.2,7.2,85.8,50.0,26.4
S150,4.4,6.0,53.8,55.0,21.9
S151,11.9,8.9,84.5,51.0,44.1
S152,8.1,6.7,81.4,75.0,42.3
S153,5.8,8.7,55.1,44.0,27.7
S154,6.7,4.6,88.6,50.0,33.4
S155,2.3,8.9,92.5,40.0,29.7
S156,3.5,4.9,80.0,66.0,23.6
S157,4.7,8.8,56.1,68.0,33.6
S158,7.5,5.3,99.2,84.0,37.9
S159,3.5,4.5,89.1,78.0,29.5
S160,3.4,6.2,67.4,70.0,24.7
S161,1.8,7.6,71.4,58.0,25.2
S162,7.9,5.6,68.5,42.0,31.4
S163,3.5,7.0,75.3,54.0,30.0
S164,11.0,6.6,67.1,58.0,35.8
S165,10.5,5.9,92.5,85.0,40.6
S166,1.8,6.9,91.1,58.0,30.1
S167,3.6,5.3,55.3,84.0,30.3
S168,8.4,7.5,98.0,95.0,42.0
S169,3.4,4.0,81.8,69.0,32.1
S170,2.5,8.6,91.4,44.0,22.8
S171,11.3,6.7,85.4,83.0,45.3
S172,7.3,7.6,71.8,54.0,31.0
S173,6.2,7.7,86.7,56.0,31.0
S174,9.6,7.4,98.3,90.0,40.9
S175,9.9,5.8,63.5,90.0,44.8
S176,3.1,4.3,90.4,80.0,34.4
S177,2.1,7.3,76.9,77.0,30.7
S178,5.7,5.7,74.2,82.0,31.0
S179,5.7,5.6,71.8,91.0,35.0
S180,6.1,8.2,86.6,52.0,31.4
S181,9.0,7.6,63.4,67.0,38.4
S182,8.4,5.5,92.6,47.0,36.1
S183,11.8,5.5,91.5,74.0,44.1
S184,2.1,6.0,54.3,54.0,19.4
S185,5.4,6.0,94.1,81.0,39.4
S186,4.7,5.5,62.2,49.0,22.9
S187,10.5,4.6,73.2,57.0,36.2
S188,3.7,6.1,80.5,92.0,33.4
S189,3.1,8.7,68.9,49.0,23.4
S190,5.9,7.4,51.4,44.0,28.0
S191,5.6,8.5,92.5,43.0,32.2
S192,4.1,7.1,59.1,50.0,30.7
S193,3.7,5.5,60.6,90.0,28.8
S194,11.2,6.7,89.9,59.0,46.7
S195,5.9,4.0,67.0,78.0,33.8
S196,10.5,5.4,94.0,87.0,42.7
S197,7.1,6.1,85.1,92.0,40.4
S198,1.6,6.9,63.8,76.0,28.2
S199,12.0,7.3,50.5,58.0,42.0
S200,10.2,6.3,97.4,68.0,37.8
S201,4.5,1.7,26.2,67.3,57.2
S202,11.4,4.9,24.7,79.7,80.5
S203,8.8,7.9,90.6,25.0,76.0
S204,7.2,6.6,25.0,62.5,15.4
S205,1.9,7.3,27.2,57.2,14.9
S206,1.9,5.9,75.9,83.3,26.8
S207,0.7,6.2,45.0,90.6,36.1
S208,10.4,7.6,77.7,1.2,40.8
S209,7.2,2.2,6.5,67.4,68.0
S210,8.5,4.4,48.8,5.2,5.7
S211,0.2,2.0,3.4,54.9,3.5
S212,11.6,8.9,6.3,28.8,39.2
S213,10.0,8.5,90.6,30.7,69.7
S214,2.5,0.4,13.9,35.3,19.3
S215,2.2,6.4,53.2,62.1,64.2
S216,2.2,8.3,41.1,33.4,26.0
S217,3.7,1.6,34.7,73.3,88.6
S218,6.3,5.1,90.0,40.5,89.6
S219,5.2,8.2,2.2,6.8,29.7
S220,3.5,0.3,66.4,78.4,23.0
S221,7.3,6.3,96.3,28.6,41.1
S222,1.7,2.7,56.0,43.3,24.1
S223,3.5,8.3,93.7,68.5,67.2
S224,4.4,8.7,5.2,33.2,82.6
S225,5.5,8.5,41.9,5.7,67.3
S226,9.4,4.3,26.0,37.4,82.4
S227,2.4,7.8,73.1,94.4,39.7
S228,6.2,7.6,98.1,64.2,15.6
S229,7.1,2.9,25.7,67.1,73.8
S230,0.6,7.5,65.4,63.2,36.0
S231,7.3,0.3,19.8,19.9,67.1
S232,2.0,5.4,56.5,41.8,27.1
S233,0.8,2.1,46.4,75.1,8.1
S234,11.4,1.1,97.2,10.1,99.3
S235,11.6,0.7,60.9,27.8,15.6
S236,9.7,6.3,35.0,27.6,98.8
S237,3.7,3.1,11.4,43.2,97.7
S238,1.2,6.5,15.1,98.0,79.4
S239,8.2,0.6,22.5,6.8,65.9
S240,5.3,2.8,25.1,51.9,57.8
S241,1.5,4.9,85.1,17.9,86.6
S242,5.9,7.1,56.1,97.1,28.9
S243,0.4,2.9,52.3,11.3,46.8
S244,10.9,5.6,11.5,40.4,61.9
S245,3.1,8.0,86.0,73.8,41.1
S246,8.0,5.5,72.3,70.5,42.7
S247,3.7,2.1,6.8,42.3,33.0
S248,6.2,0.2,70.8,34.7,56.4
S249,6.6,7.8,54.4,39.8,85.1
S250,2.2,0.2,8.2,26.4,20.2
S251,11.6,7.9,45.8,20.5,93.4
S252,9.3,4.8,48.5,48.3,68.9
S253,11.3,8.5,16.6,26.9,82.3
S254,10.7,7.2,94.6,28.7,55.6
S255,7.2,9.0,85.0,65.7,78.0
S256,11.1,3.2,66.9,96.9,1.6
S257,1.1,6.9,46.2,60.4,81.8
S258,2.4,3.6,41.2,7.7,4.0
S259,0.5,4.3,65.1,7.6,89.0
S260,3.9,5.6,54.5,95.1,99.2
S261,4.7,7.9,6.2,29.7,29.4
S262,3.3,8.9,51.3,9.2,21.0
S263,9.9,6.9,80.6,59.9,76.5
S264,4.3,3.8,45.9,62.4,25.3
S265,3.4,3.8,5.2,64.9,86.6
S266,6.5,6.6,78.6,26.7,10.3
S267,1.7,2.1,20.1,1.5,12.6
S268,9.6,1.0,25.9,96.5,97.9
S269,0.9,3.2,16.5,25.1,67.4
S270,11.8,2.6,33.0,67.6,84.7
S271,9.3,2.7,75.7,70.7,32.4
S272,2.4,2.1,51.9,61.0,67.6
S273,0.1,0.4,20.5,31.3,59.4
S274,9.8,0.2,87.8,27.1,60.3
S275,8.5,8.9,88.0,59.8,68.3
S276,8.7,3.8,87.1,86.6,57.5
S277,9.3,3.5,23.9,94.7,42.9
S278,0.9,6.1,45.1,10.6,27.6
S279,4.3,2.0,98.5,15.5,76.9
S280,1.4,8.5,77.2,94.5,22.6
S281,10.4,7.1,2.7,73.7,69.2
S282,7.5,0.8,6.5,88.3,23.3
S283,4.0,3.8,46.4,20.3,62.5
S284,0.8,7.9,90.9,58.8,74.7
S285,3.7,8.5,53.9,70.1,21.9
S286,3.9,4.2,49.8,68.0,6.0
S287,8.8,5.5,10.5,40.8,13.1
S288,7.7,1.5,65.7,1.5,60.6
S289,10.6,8.9,82.2,58.3,84.9
S290,5.7,2.1,38.0,25.3,4.5
S291,1.4,8.5,77.6,45.0,73.4
S292,8.6,5.8,96.4,95.8,34.1
S293,9.1,5.5,20.4,39.9,47.9
S294,6.7,4.6,52.3,84.0,92.9
S295,9.3,2.1,28.7,18.9,33.2
S296,5.9,1.6,79.3,67.2,46.5
S297,6.3,2.0,57.8,97.7,1.4
S298,5.1,1.7,63.5,10.2,8.2
S299,0.3,7.0,79.8,0.8,25.9
S300,1.3,3.2,39.6,43.4,2.8
S301,0.4,0.5,91.5,9.3,63.1
S302,7.6,8.7,53.3,74.8,42.6
S303,3.8,8.0,15.8,91.5,54.8
S304,6.1,8.3,69.6,43.4,17.5
S305,10.9,9.0,79.3,25.9,29.6
S306,3.0,1.6,31.7,43.4,66.4
S307,4.9,3.6,85.7,72.3,96.5
S308,9.1,6.8,90.6,0.9,5.0
S309,2.7,6.3,27.7,58.9,89.0
S310,0.9,1.4,98.4,61.3,57.7
S311,3.5,7.3,14.1,63.8,56.4
S312,1.9,2.0,20.2,24.2,50.0
S313,11.2,2.0,18.4,71.4,6.9
S314,9.7,4.8,89.4,9.1,9.0
S315,7.6,5.3,65.4,19.9,60.1
S316,10.5,5.2,15.2,87.7,34.1
S317,9.6,0.8,44.0,73.9,91.7
S318,2.2,7.9,61.5,1.4,40.7
S319,10.7,2.4,8.3,24.8,14.3
S320,6.5,1.2,88.2,21.4,71.5
S321,9.7,8.0,80.4,27.1,29.3
S322,10.8,8.6,50.5,24.8,52.5
S323,3.8,7.8,96.7,6.3,69.8
S324,1.3,7.3,41.8,45.9,90.0
S325,2.7,5.9,98.4,73.3,79.2
S326,5.1,5.0,66.8,60.7,67.6
S327,9.8,0.8,63.5,67.3,68.0
S328,10.3,3.7,16.6,8.1,94.6
S329,0.1,3.4,88.2,95.1,29.6
S330,6.1,2.3,42.7,83.8,0.1
S331,5.0,6.5,16.2,80.5,27.2
S332,2.7,4.5,1.3,82.3,21.8
S333,1.4,0.7,56.0,93.3,66.2
S334,4.1,2.0,52.7,54.4,63.4
S335,11.3,6.1,71.9,20.0,59.3
S336,3.9,0.7,89.0,61.7,1.6
S337,6.2,7.7,7.9,74.3,72.9
S338,8.4,4.5,73.1,73.8,32.4
S339,4.4,4.3,18.7,52.1,66.5
S340,11.7,5.3,85.8,6.8,55.7
S341,11.5,7.4,81.9,37.1,34.3
S342,3.0,3.1,54.1,92.1,13.5
S343,6.0,6.1,71.0,58.4,9.4
S344,3.6,5.1,31.4,53.8,83.2
S345,3.4,2.4,47.1,26.9,91.8
S346,0.4,7.9,82.2,36.8,65.0
S347,7.3,7.2,45.9,89.5,10.3
S348,6.0,5.9,35.8,66.6,40.2
S349,0.6,7.7,49.4,78.7,72.9
S350,3.3,7.8,82.8,45.4,78.0
S351,10.9,6.4,33.5,63.0,11.8
S352,2.9,7.5,17.4,24.8,0.0
S353,1.7,6.3,71.2,70.5,71.2
S354,5.9,6.1,82.6,42.8,35.7
S355,11.8,5.6,10.1,44.3,25.4
S356,2.9,6.8,24.0,64.9,1.3
S357,8.1,1.4,14.2,93.6,54.0
S358,9.1,7.9,34.8,6.4,85.1
S359,2.9,7.8,45.0,82.5,95.8
S360,8.7,0.3,74.9,29.2,56.6
S361,4.4,7.4,65.1,44.4,51.4
S362,7.6,1.2,62.1,2.2,8.5
S363,7.6,3.0,35.2,30.1,54.9
S364,6.4,6.7,84.1,50.3,38.0
S365,1.1,1.4,47.1,5.6,60.7
S366,10.0,7.4,97.9,49.1,38.9
S367,3.8,7.5,63.4,92.7,24.0
S368,2.2,4.6,12.6,10.5,9.5
S369,0.5,0.1,67.6,76.4,31.5
S370,7.1,2.6,32.5,41.0,9.7
S371,8.1,5.6,68.6,65.5,17.7
S372,0.2,8.8,7.0,26.0,98.7
S373,6.1,5.7,17.5,15.9,44.4
S374,2.7,2.3,85.6,16.0,53.2
S375,7.7,5.7,22.7,7.0,87.4
S376,2.1,4.9,83.7,18.6,99.6
S377,8.3,7.0,27.9,66.4,58.3
S378,4.6,1.0,64.3,88.2,81.2
S379,11.2,6.8,69.4,81.4,32.7
S380,1.7,4.9,51.3,68.5,30.6
S381,4.1,8.7,30.5,11.0,40.3
S382,1.4,3.1,21.3,28.9,67.3
S383,11.1,5.7,3.3,31.0,68.2
S384,10.5,8.4,30.4,25.0,31.5
S385,3.1,0.9,65.3,51.5,13.3
S386,7.9,8.4,93.8,53.6,63.2
S387,9.8,6.2,87.1,35.7,12.8
S388,6.7,0.6,76.6,35.4,57.8
S389,6.4,2.7,78.8,82.9,69.3
S390,2.9,6.4,66.5,78.9,70.1
S391,1.1,0.6,26.0,30.8,75.3
S392,10.8,5.2,90.7,91.4,87.3
S393,10.8,3.1,67.1,95.3,50.0
S394,7.6,5.6,56.0,32.7,73.0
S395,4.1,0.4,11.1,35.4,61.9
S396,4.2,7.8,44.7,50.6,18.7
S397,8.7,8.8,46.0,94.1,2.6
S398,10.8,8.7,86.5,87.6,28.5
S399,10.6,6.7,54.7,10.3,44.3
S400,9.4,1.2,38.0,39.3,61.7
S401,7.7,6.8,97.7,55.3,85.0
S402,1.0,0.2,11.1,50.3,19.6
S403,1.9,0.2,42.3,19.4,12.6
S404,10.8,2.9,4.2,85.9,96.3
S405,7.3,4.4,74.0,67.7,10.8
S406,0.1,6.9,91.8,83.8,47.8
S407,1.2,6.1,28.0,85.9,58.6
S408,8.0,4.0,85.8,74.8,54.1
S409,0.1,2.5,29.2,43.9,8.6
S410,1.9,9.0,91.1,61.1,5.7
S411,6.6,3.8,75.4,16.0,10.5
S412,8.3,4.1,80.5,67.4,58.6
S413,7.8,1.5,1.8,17.9,54.4
S414,2.7,7.2,96.3,69.4,23.4
S415,8.5,6.2,72.7,23.0,63.8
S416,2.8,2.0,30.5,11.8,82.0
S417,3.9,0.7,82.9,16.5,4.2
S418,9.0,6.1,28.2,0.2,49.8
S419,7.8,5.9,87.3,71.9,68.9
S420,10.2,2.5,11.3,73.2,25.2
S421,7.9,8.6,70.4,51.5,30.8
S422,6.8,1.4,54.1,16.1,61.4
S423,1.1,3.9,9.7,8.4,89.8
S424,4.4,8.5,24.2,1.9,81.0
S425,3.2,3.8,1.2,16.6,58.3
S426,2.9,5.7,46.9,89.1,73.0
S427,11.7,3.6,30.1,24.2,36.5
S428,4.7,2.5,59.8,35.4,64.1
S429,10.7,8.9,29.7,10.5,46.6
S430,7.6,3.7,30.0,22.2,19.0
S431,9.5,8.0,74.3,51.9,70.2
S432,6.0,2.1,4.8,60.8,55.6
S433,6.9,1.9,90.3,24.5,35.9
S434,5.9,0.3,85.2,5.8,91.1
S435,2.3,5.9,66.8,39.1,2.1
S436,8.7,3.3,59.3,23.4,31.6
S437,3.4,7.8,89.2,22.0,5.7
S438,0.3,4.3,18.5,96.0,76.7
S439,7.7,8.7,7.9,61.6,70.2
S440,2.1,1.7,24.0,55.7,33.1
S441,11.3,7.8,79.5,41.6,67.6
S442,11.4,7.0,3.5,42.9,39.6
S443,11.0,6.9,58.3,54.1,75.6
S444,4.4,7.6,99.5,69.6,45.4
S445,0.2,6.8,85.6,70.2,41.2
S446,11.1,5.6,52.1,17.2,93.5
S447,5.1,1.2,6.4,50.0,25.1
S448,11.6,0.3,83.1,41.2,12.0
S449,11.6,8.3,59.9,87.1,58.5
S450,10.2,5.5,11.5,63.1,96.9
S451,3.5,7.2,9.4,53.3,37.8
S452,4.6,4.3,91.0,11.5,6.2
S453,10.2,1.1,66.9,60.6,33.9
S454,3.8,1.1,82.9,11.7,50.6
S455,2.0,6.2,87.9,33.7,16.2
S456,6.7,3.9,57.2,14.3,65.8
S457,11.2,1.8,51.7,69.2,99.8
S458,8.4,4.4,43.0,20.6,45.2
S459,6.8,0.6,31.7,39.2,35.5
S460,1.2,5.2,43.5,89.6,40.1
S461,7.4,2.4,77.4,20.4,11.5
S462,11.9,7.2,60.2,50.8,88.3
S463,1.7,2.8,89.3,41.9,41.5
S464,6.2,4.1,44.3,1.8,38.7
S465,10.5,0.1,60.7,79.3,66.0
S466,8.9,0.7,63.1,6.9,44.2
S467,8.4,3.5,59.2,47.4,64.8
S468,8.4,4.3,70.3,56.1,6.1
S469,4.3,5.4,23.7,62.8,81.4
S470,3.5,2.6,51.2,68.9,94.1
S471,9.7,6.3,10.4,25.3,64.9
S472,9.7,7.7,38.5,1.0,95.5
S473,10.4,7.0,48.8,72.3,15.1
S474,11.0,0.4,65.2,53.6,47.7
S475,6.1,4.3,95.1,83.6,60.2
S476,6.0,0.9,60.1,82.1,58.2
S477,9.6,2.2,74.4,84.3,40.1
S478,7.8,8.9,50.6,48.5,33.8
S479,8.4,1.3,63.4,33.4,12.7
S480,9.5,4.5,7.1,79.2,39.2
S481,10.7,5.6,25.4,45.1,16.3
S482,4.1,6.3,36.2,18.3,73.4
S483,4.5,5.0,47.2,85.5,20.9
S484,1.1,0.1,4.6,88.3,5.9
S485,6.9,2.9,14.0,46.6,55.2
S486,0.4,4.7,27.7,7.6,59.5
S487,5.6,0.8,97.2,38.8,87.2
S488,6.5,3.2,33.1,80.4,57.7
S489,3.4,0.3,48.2,90.2,34.5
S490,7.1,0.7,19.6,20.3,80.3
S491,0.4,3.6,61.1,6.7,54.0
S492,0.4,1.2,28.1,87.7,7.9
S493,9.9,5.1,20.7,38.9,56.6
S494,4.3,6.2,51.7,54.2,90.8
S495,1.5,7.2,0.6,96.8,39.6
S496,6.3,1.8,0.8,6.7,29.6
S497,9.2,1.5,21.9,64.8,14.3
S498,2.6,0.9,3.7,7.4,15.1
S499,7.5,5.7,10.8,37.5,43.3
S500,1.0,6.4,33.9,80.4,59.6
S501,0.6,0.3,80.3,43.3,8.1
S502,6.4,8.4,57.2,99.7,94.0
S503,6.5,0.5,51.3,55.9,75.5
S504,7.6,4.9,29.3,32.1,58.7
S505,8.7,6.4,93.2,22.0,82.8
S506,11.7,7.8,39.7,35.1,8.0
S507,6.2,6.4,8.7,37.3,47.7
S508,3.9,7.2,61.7,6.9,63.0
S509,9.5,3.1,11.4,37.0,82.9
S510,3.2,7.3,34.5,46.4,78.3
S511,5.3,0.7,50.7,72.3,27.7
S512,0.9,8.1,87.4,65.7,94.1
S513,0.3,4.9,49.4,70.9,12.4
S514,11.6,7.4,70.2,0.8,87.5
S515,10.0,4.1,99.3,21.8,97.1
S516,8.4,5.8,13.1,66.2,17.7
S517,4.9,4.7,27.5,48.4,72.2
S518,2.1,6.6,39.5,0.5,4.0
S519,1.9,0.7,42.2,80.4,40.5
S520,3.0,0.5,41.1,77.3,51.6
S521,6.6,2.2,90.8,54.8,58.1
S522,8.6,1.4,71.4,6.6,93.6
S523,7.9,7.8,60.8,76.7,67.2
S524,3.4,2.0,30.9,58.4,48.1
S525,11.5,8.8,82.4,78.2,81.0
S526,8.9,3.0,95.5,75.2,95.1
S527,6.7,1.6,82.1,80.3,2.2
S528,7.3,7.1,0.2,51.8,98.3
S529,5.0,5.9,63.6,14.0,8.6
S530,3.0,4.5,5.1,67.1,81.4
S531,4.3,5.0,25.8,62.0,28.0
S532,9.1,6.5,6.0,74.2,13.2
S533,0.2,2.1,60.4,17.0,44.0
S534,1.4,9.0,68.7,19.5,64.4
S535,0.6,8.8,11.4,89.0,38.1
S536,0.5,5.9,38.4,75.0,5.5
S537,10.3,1.8,45.6,90.8,59.9
S538,8.4,6.1,36.9,75.9,90.2
S539,5.7,0.6,12.1,59.7,38.3
S540,1.2,0.3,41.9,65.4,21.6
S541,5.9,2.3,75.1,88.9,44.3
S542,5.7,4.2,7.1,57.9,4.8
S543,2.1,7.8,8.0,63.2,82.0
S544,5.2,6.5,35.5,15.6,82.6
S545,4.8,6.7,94.2,47.4,58.8
S546,7.4,3.8,66.9,71.6,35.3
S547,7.6,3.1,67.9,27.1,80.0
S548,0.5,3.3,36.2,20.2,55.5
S549,4.5,8.9,59.4,31.4,82.6
S550,7.5,0.4,1.0,24.2,63.1
S551,6.0,7.8,63.6,21.5,78.4
S552,10.3,5.2,91.3,42.5,59.9
S553,7.9,3.9,61.3,90.8,41.4
S554,2.0,6.5,87.4,50.7,95.8
S555,0.8,4.4,72.4,18.8,54.1
S556,7.7,7.9,12.1,7.7,60.5
S557,0.3,8.1,90.2,69.6,22.0
S558,7.0,3.8,6.6,38.3,62.6
S559,11.3,2.5,53.4,82.2,57.2
S560,6.9,5.3,14.2,66.0,18.5
S561,4.7,8.2,1.2,79.6,6.0
S562,7.7,1.9,42.2,27.2,60.4
S563,5.5,5.6,29.5,69.2,76.4
S564,6.5,5.7,48.6,26.4,52.3
S565,11.3,6.6,57.7,93.9,22.7
S566,4.6,1.2,4.4,63.6,66.7
S567,11.5,6.4,12.3,32.5,8.0
S568,10.9,8.2,55.9,27.0,44.2
S569,2.3,1.6,34.3,19.1,16.3
S570,0.8,2.1,72.9,69.5,18.4
S571,1.2,8.7,65.2,21.9,20.2
S572,0.2,1.6,84.6,59.5,38.7
S573,1.1,7.7,69.2,26.5,5.1
S574,8.2,4.4,43.0,66.2,39.8
S575,0.9,2.2,67.3,81.5,51.2
S576,3.8,7.8,27.5,77.8,48.3
S577,10.1,4.0,30.6,76.1,38.3
S578,0.3,4.6,78.9,18.8,83.9
S579,9.8,3.2,44.6,8.8,14.5
S580,3.4,5.3,79.8,69.9,50.6
S581,1.4,1.5,82.2,36.8,6.2
S582,8.4,3.5,85.8,43.2,7.1
S583,7.5,8.7,91.7,3.1,57.4
S584,10.5,2.3,43.1,26.0,56.6
S585,8.8,5.9,31.9,3.4,87.8
S586,9.6,2.9,58.2,87.9,55.8
S587,3.4,7.0,37.1,24.3,96.0
S588,2.1,1.2,60.1,55.7,4.9
S589,9.0,8.7,70.6,3.9,9.8
S590,9.7,4.1,68.8,66.7,4.4
S591,11.9,2.1,37.5,32.3,18.5
S592,5.0,0.7,16.7,89.8,54.1
S593,4.5,1.5,43.1,88.8,64.6
S594,9.3,4.7,14.3,32.5,4.6
S595,4.1,3.0,89.0,90.1,94.6
S596,11.2,7.5,34.6,99.6,84.2
S597,10.3,3.9,15.4,82.5,29.7
S598,5.1,2.2,2.5,84.5,7.7
S599,9.0,5.6,64.6,24.9,17.0
S600,9.1,6.4,63.7,57.7,12.7
S601,1.2,1.5,34.1,6.7,12.3
S602,10.8,1.5,7.2,9.5,51.9
S603,6.1,0.3,41.0,99.9,24.6
S604,9.9,6.6,31.1,32.7,35.8
S605,3.8,6.0,67.7,74.8,99.0
